DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
02/03/2021 06:00,02/03/2021,06:00:00,1,1,0,0.148
02/03/2021 06:15,02/03/2021,06:15:00,1,1,0,0.072
02/03/2021 06:30,02/03/2021,06:30:00,1,1,0,0.064
02/03/2021 06:45,02/03/2021,06:45:00,1,1,0,0.092
02/03/2021 07:00,02/03/2021,07:00:00,1,1,0,0.108
02/03/2021 07:15,02/03/2021,07:15:00,1,1,1,0.068
02/03/2021 07:30,02/03/2021,07:30:00,1,1,1,0.064
02/03/2021 07:45,02/03/2021,07:45:00,1,1,1,0.1
02/03/2021 08:00,02/03/2021,08:00:00,1,1,1,0.1
02/03/2021 08:15,02/03/2021,08:15:00,1,1,1,0.088
02/03/2021 08:30,02/03/2021,08:30:00,1,1,1,0.136
02/03/2021 08:45,02/03/2021,08:45:00,1,1,1,0.18
02/03/2021 09:00,02/03/2021,09:00:00,1,1,1,0.16
02/03/2021 09:15,02/03/2021,09:15:00,1,1,1,0.668
02/03/2021 09:30,02/03/2021,09:30:00,1,1,1,0.6
02/03/2021 09:45,02/03/2021,09:45:00,1,1,1,0.368
02/03/2021 10:00,02/03/2021,10:00:00,1,1,1,0.364
02/03/2021 10:15,02/03/2021,10:15:00,1,1,1,0.372
02/03/2021 10:30,02/03/2021,10:30:00,1,1,1,0.44
02/03/2021 10:45,02/03/2021,10:45:00,1,1,1,0.388
02/03/2021 11:00,02/03/2021,11:00:00,1,1,1,0.424
02/03/2021 11:15,02/03/2021,11:15:00,1,1,1,0.392
02/03/2021 11:30,02/03/2021,11:30:00,1,1,1,0.404
02/03/2021 11:45,02/03/2021,11:45:00,1,1,1,0.36
02/03/2021 12:00,02/03/2021,12:00:00,1,1,1,0.32
02/03/2021 12:15,02/03/2021,12:15:00,1,1,1,0.312
02/03/2021 12:30,02/03/2021,12:30:00,1,1,1,0.384
02/03/2021 12:45,02/03/2021,12:45:00,1,1,1,0.408
02/03/2021 13:00,02/03/2021,13:00:00,1,1,1,1.564
02/03/2021 13:15,02/03/2021,13:15:00,1,1,1,1.488
02/03/2021 13:30,02/03/2021,13:30:00,1,1,1,0.42
